net,size,logtable,sizetable,logtree,sizetree,loglrdummy,sizelrdummy,logtreedummy,sizetreedummy,  loglgpair,sizelgpair,   logtreepair,sizetreepair,loglgld,sizelgld,  logtreeld,sizetreeld,loglgldpair,sizeldlgpair,logtreeldpair,sizetreeldpair
alarm.bif,500,-0.36281646526269945,72,-0.3753037927626225,33,-0.4328530888522291,15,-0.3906719238714512,24,-0.36500260064043183,20,-0.3745870200837604,21,-0.36114962339225987,18,-0.38509813260790793,21,-0.3615099034247911,20,-0.38509813260790793,21
alarm.bif,500,-0.8692038029787935,72,-0.8744042893019792,33,-0.9510965189567654,19,-0.8710266274778576,36,-0.922222305040605,19,-0.8702779127184034,21,-0.8678435441472968,24,-0.8739093546359833,24,-0.8660668157460881,26,-0.8739093546359833,24
alarm.bif,500,-0.37165793124226676,72,-0.4033473105818103,24,-0.4393799335888676,12,-0.4103347667248117,18,-0.3787012886359032,17,-0.3987560756119603,18,-0.37635638814231315,18,-0.3990188088307853,18,-0.3762380403474719,21,-0.3990188088307853,18
alarm.bif,500,-0.8589125387317443,72,-0.8703087971651626,33,-0.9367887707243672,20,-0.8605184831327255,33,-0.9041630568441956,21,-0.8633178115508116,24,-0.8675618176689448,15,-0.862339828103212,18,-0.8641786918370028,16,-0.862339828103212,18
alarm.bif,500,-0.36329299605061716,72,-0.38603260272230766,27,-0.43529746650269535,15,-0.4104919804783507,18,-0.37226868345014946,24,-0.38934855438898813,24,-0.3611884931654919,15,-0.36385824468140016,21,-0.3604662787409243,20,-0.36385824468140016,21
alarm.bif,500,-0.8773737088576347,72,-0.8751593786753016,33,-0.9426637366768157,18,-0.8963775447640162,30,-0.9103830418221143,19,-0.8826045438925018,21,-0.8720604337584446,20,-0.8777380430900216,18,-0.8737478920987338,22,-0.8777380430900216,18
alarm.bif,500,-0.3610749733470296,72,-0.383243327534427,27,-0.4323447898869073,11,-0.4027325320056488,18,-0.38905279012754573,9,-0.3719877849840855,21,-0.36692075053352446,13,-0.3737695439778561,18,-0.36715379562300815,15,-0.3737695439778561,18
alarm.bif,500,-0.862278025521027,72,-0.8934669311586622,30,-0.9347233652412129,18,-0.9018643803355384,24,-0.9030118901775144,21,-0.8753267638048963,21,-0.8629370609540301,20,-0.8660907277347049,18,-0.8607193029676072,21,-0.8660907277347049,18
alarm.bif,500,-0.362766582626505,72,-0.38659991117897796,27,-0.43060907528312237,16,-0.4016639664394954,21,-0.36336867986957894,15,-0.3934232569853503,18,-0.3574260812596034,19,-0.3805871204182578,18,-0.35685379578652265,24,-0.3805871204182578,18
alarm.bif,500,-0.8616717330603502,72,-0.8709915627738956,33,-0.9385821948243201,19,-0.868336438742595,30,-0.9032104956921266,20,-0.8570377809088974,24,-0.8693992880184119,21,-0.8816974350522434,18,-0.868619700071049,22,-0.8816974350522434,18
alarm.bif,500,-0.3666668899766574,72,-0.38144005156855804,33,-0.4414529856049606,15,-0.3928981438188452,24,-0.3709687489992506,16,-0.3850017274843733,21,-0.3671063265534038,17,-0.3808944999106481,21,-0.36585523622241456,21,-0.3804267275438686,24
alarm.bif,500,-0.8588482772640352,72,-0.8705744371107479,33,-0.9297998604484972,22,-0.8674534061871384,30,-0.9245960103385163,22,-0.863888549611677,27,-0.857518684088336,20,-0.8622150575275065,18,-0.8557475883458575,25,-0.8622150575275065,18
alarm.bif,500,-0.36050235119027063,72,-0.37175857311602983,33,-0.42891023910723014,15,-0.3750499733935924,27,-0.36191921203122995,17,-0.36704870324271005,24,-0.3581184945763725,21,-0.37554328392578135,21,-0.35719305700568327,25,-0.37554328392578135,21
alarm.bif,500,-0.8642818310403154,72,-0.8732106568241601,39,-0.9391993607293382,21,-0.8733411002550915,27,-0.940882965736882,25,-0.8733411002550915,27,-0.8756347137035804,20,-0.8693890500112533,18,-0.8767337381718178,17,-0.8693890500112533,18
alarm.bif,500,-0.36974549519246036,72,-0.39307563549895747,27,-0.4347244836215872,14,-0.39889410433375966,21,-0.3678828647146762,21,-0.40084791533412156,18,-0.36797485573354693,22,-0.3718624384210298,21,-0.36794313045535354,22,-0.3718624384210298,21
alarm.bif,500,-0.874326029621724,72,-0.884563244440728,39,-0.9505337628583668,22,-0.8753064804020673,36,-0.9193171642177825,20,-0.8800899084359793,21,-0.8787489524482996,16,-0.8841280204964324,21,-0.8766379864968777,18,-0.8841280204964324,21
alarm.bif,500,-0.36312829402454283,72,-0.38672007804124,27,-0.4347843196119584,9,-0.39785885962492656,21,-0.365618292571691,19,-0.37864572712717665,21,-0.37326528999698044,16,-0.3828489293399206,18,-0.3714052176826254,14,-0.3828489293399206,18
alarm.bif,500,-0.8560132972170189,72,-0.8668344299625061,36,-0.9327329019229855,19,-0.8672003213381575,30,-0.8974471918284227,23,-0.8600945469312188,21,-0.8745925347427322,20,-0.8608974504153161,21,-0.8724487935306472,22,-0.8608974504153161,21
alarm.bif,500,-0.3764768118089165,72,-0.40314033117679504,24,-0.4378474860140639,16,-0.40758041873568784,21,-0.37410331590873513,17,-0.39811105915301953,24,-0.375875636648271,20,-0.4085263886063843,18,-0.37504587810463863,23,-0.4085263886063843,18
alarm.bif,5000,-0.8473914678017498,72,-0.8488424890587083,54,-0.9239827809501264,25,-0.848543845497245,45,-0.8896901039312867,30,-0.8482846485760072,36,-0.8464390862965636,44,-0.8479584125670755,33,-0.8472933660057271,39,-0.848299871601997,36
alarm.bif,5000,-0.351693758221651,72,-0.3531598258413059,51,-0.42360241387479236,23,-0.3538583480879707,51,-0.357899182954053,26,-0.35268831048035265,33,-0.3515951164885045,42,-0.3525235038553512,27,-0.3518903721142552,41,-0.35102265156819257,30
alarm.bif,5000,-0.8468552679284601,72,-0.8482675475027179,51,-0.9246320396642635,25,-0.8473552160143268,42,-0.8935220374508032,27,-0.8464399999216125,36,-0.8458646237266286,42,-0.8474866629412594,33,-0.8458637982577766,43,-0.8470615274786294,30
alarm.bif,5000,-0.3513719801205681,72,-0.3525608127162116,51,-0.42263633564258624,21,-0.3541450552920355,45,-0.3582941812781448,27,-0.3513938535743377,36,-0.35028978251856935,41,-0.3513602312656363,30,-0.35044893401291316,41,-0.3513602312656363,30
alarm.bif,5000,-0.8455351932373022,72,-0.8483286676380083,51,-0.9257683525436261,23,-0.8485796216652368,39,-0.890919352638777,25,-0.8468565619145069,33,-0.8476816292700332,39,-0.8477241026134549,30,-0.8464291501468572,42,-0.8457568353172088,33
alarm.bif,5000,-0.3503218799861073,72,-0.35168502490857817,48,-0.42369682771454054,23,-0.35149411621476345,48,-0.358061240784136,30,-0.3506860297243228,39,-0.3499305908896515,39,-0.3504573588073489,27,-0.3496804751532632,36,-0.3504573588073489,27
